id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
5246,-28.4206,23.3539,0.001,50.46,19.03,4.87,22.6,13.04,7.14,very low contamination
5247,-28.4867,23.6811,0.001,13.57,10.85,1.52,8.53,3.85,1.66,very low contamination
5248,-28.5503,23.5614,0.001,48.87,24.69,7.37,44.43,20.81,7.98,very low contamination
5249,-28.5503,23.5614,0.001,31.73,16.33,4.73,33.09,9.29,3.51,very low contamination
5250,-28.7864,23.7064,0.001,22.35,30.32,3.97,24.08,10.44,6.27,very low contamination
5251,-28.0036,23.6031,0.001,25.51,13.5,3.77,28.22,7.13,2.37,very low contamination
5252,-27.7475,23.6567,0.001,40.42,21.12,5.61,52.53,10.36,7.25,very low contamination
5253,-27.7169,23.5486,0.001,38.3,20.96,4.42,16.95,9.25,4.91,very low contamination
5254,-27.3833,23.37,0.001,25.29,13.28,4.31,16.87,5.69,2.24,very low contamination
5255,-27.3147,23.6086,0.001,19.3,13.07,2.38,13.71,4.83,2.54,very low contamination
5256,-27.1856,23.3969,0.001,18.35,9.19,1.87,12.65,3.04,1.35,very low contamination
5257,-27.0825,23.2431,0.001,14.5,8.58,1.79,9.21,2.62,1.36,very low contamination
5258,-26.7831,23.3561,0.001,15.95,9.25,3.07,11.71,3.62,1.96,very low contamination
5259,-26.8786,23.6533,0.001,21.09,11.82,3.44,12.2,4.82,2.45,very low contamination
5260,-27.0739,23.8525,0.017,15.55,7.29,2.95,10.95,3.31,1.64,very low contamination
5261,-27.1339,23.9972,0.017,36.64,13.53,5.5,21.14,8.07,2.99,very low contamination
5262,-27.1072,24.2819,0.019,50.93,21.9,5.34,36.21,26.55,8.43,very low contamination
5263,-26.1386,28.3608,0.0,90.17,20.49,17.87,27.34,18.23,1.29,moderate contamination
5264,-26.4083,28.3564,0.0,93.45,55.77,21.72,54.62,34.3,15.03,moderate contamination
5265,-26.7392,28.287,0.0,28.68,10.32,6.95,16.32,6.17,2.78,very low contamination
5266,-26.5183,28.6692,0.0,42.93,9.44,12.74,53.35,7.51,3.41,very low contamination
5267,-26.3847,28.7703,0.0,187.97,103.6,12.66,87.72,46.5,40.03,moderate contamination
5268,-26.1931,29.3197,0.0,33.84,11.75,9.25,18.74,7.63,3.98,very low contamination
5269,-26.2892,29.1364,0.0,37.62,11.78,9.04,29.86,9.59,6.38,very low contamination
5270,-26.7217,29.3875,0.0,131.97,123.74,16.08,65.22,46.95,40.53,moderate contamination
5271,-24.0386,28.0233,0.0,29.14,11.36,20.13,21.22,5.39,5.14,very low contamination
5272,-23.6886,27.7653,0.0,23.92,11.41,6.23,21.02,5.13,2.44,very low contamination
5273,-23.3633,27.6761,0.0,46.11,23.67,20.13,172.91,8.06,6.82,very low contamination
5274,-23.4961,27.3931,0.0,44.27,16.22,4.4,22.13,6.88,4.36,very low contamination
5275,-23.9631,27.61,0.0,18.33,17.14,6.32,15.43,3.4,1.21,very low contamination
5276,-23.915,27.3722,0.0,30.85,19.1,4.36,14.49,10.14,8.17,very low contamination
5277,-24.0614,27.3528,0.0,53.29,21.05,30.62,193.41,21.91,10.06,very low contamination
5278,-24.2517,27.3289,0.0,105.63,61.88,19.18,59.35,33.53,19.09,moderate contamination
