id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
1591,-31.3955,17.9604,0.006,0.085,0.208,0.322,0.46,0.72,0.377,very low contamination
1592,-30.3796,17.4241,0.003,0.107,0.125,0.234,0.25,0.181,0.113,very low contamination
1593,-30.6979,17.5771,0.001,0.061,0.036,0.185,0.13,0.084,0.022,very low contamination
1594,-30.7205,17.5186,0.045,0.14,0.1,0.52,0.91,0.34,0.041,very low contamination
1595,-30.864,17.5871,0.014,0.145,0.067,0.246,0.55,0.38,0.13,very low contamination
1596,-30.8677,17.6739,0.007,0.235,0.141,0.172,0.35,0.38,0.234,very low contamination
1597,-30.9774,17.6704,0.025,0.222,0.098,0.315,0.77,0.204,0.206,very low contamination
1598,-30.9723,17.7262,0.001,0.29,0.201,0.237,0.28,0.138,0.055,very low contamination
1599,-30.9753,17.7814,0.001,0.046,0.066,0.237,0.22,0.139,0.047,very low contamination
1600,-30.9418,17.766,0.002,0.083,0.054,0.121,0.47,0.197,0.144,very low contamination
1601,-28.271,30.1767,0.005,0.062,4.165,2.143,0.82,6.58,10.24,very low contamination
1602,-28.2994,30.3271,0.011,0.063,0.811,3.02,3.48,6.76,7.66,very low contamination
1603,-28.3573,30.3633,0.004,0.125,0.348,2.618,0.48,1.59,0.569,very low contamination
1604,-28.4863,30.4377,0.003,0.15,0.097,4.852,0.26,3.61,0.86,very low contamination
1605,-28.3802,30.0717,0.004,0.069,0.175,1.113,0.34,0.49,0.83,very low contamination
1606,-28.4709,30.2839,0.002,0.058,0.11,0.447,0.23,0.51,0.352,very low contamination
1607,-28.4599,30.3349,0.007,0.054,0.959,2.223,0.41,3.28,5.7,very low contamination
1608,-28.8909,30.4811,0.005,0.048,0.247,0.834,2.76,0.67,1.21,very low contamination
1609,-28.9571,30.2722,0.017,0.087,1.35,4.191,1.61,8.68,8.0,very low contamination
1610,-28.9661,30.32,0.012,0.068,1.141,2.893,0.42,1.84,3.09,very low contamination
1611,-29.0639,30.7124,0.006,0.111,0.121,1.992,0.4,7.02,2.29,very low contamination
1612,-29.024,30.6801,0.006,0.136,0.088,3.123,0.55,1.37,0.216,very low contamination
1613,-29.2351,30.5428,0.007,0.135,0.275,4.171,0.34,1.97,0.61,very low contamination
1614,-29.1045,30.6093,0.005,0.097,0.061,3.482,0.45,3.11,0.65,very low contamination
1615,-29.0426,30.5424,0.013,0.268,0.269,2.747,0.94,1.54,0.55,very low contamination
1616,-28.9323,30.204,0.023,0.061,2.113,2.959,0.5,3.23,7.05,very low contamination
1617,-28.9566,30.7334,0.005,0.293,0.25,4.749,0.46,1.17,0.53,very low contamination
1618,-28.9791,30.6022,0.004,0.371,0.183,3.958,0.52,1.06,0.316,very low contamination
1619,-28.296,30.1062,0.004,0.166,0.185,1.143,0.43,1.01,0.409,very low contamination
1620,-28.3843,30.2383,0.01,0.575,0.571,1.183,0.66,1.79,1.92,very low contamination
1621,-28.6137,30.8621,0.008,0.242,0.484,2.24,1.1,0.89,0.305,very low contamination
1622,-28.6215,30.8229,0.005,0.256,0.147,3.386,0.43,1.0,0.226,very low contamination
1623,-33.2361,24.8832,0.06,0.662,3.441,4.349,1.25,2.68,4.73,very low contamination
1624,-33.1438,25.0931,0.028,0.555,0.382,2.679,0.83,0.94,2.8,very low contamination
1625,-33.1997,25.2932,0.121,0.07,2.085,4.341,2.46,2.84,3.32,very low contamination
1626,-33.0834,25.3822,0.018,0.061,0.691,2.77,0.76,1.79,2.88,very low contamination
1627,-33.2249,25.8983,0.034,0.065,1.245,17.435,1.17,1.69,3.12,very low contamination
1628,-33.0438,25.9723,0.038,0.067,1.824,3.665,4.25,1.82,3.28,very low contamination
1629,-33.078,25.8792,0.036,0.075,1.705,6.167,0.8,2.57,3.02,very low contamination
1630,-33.0743,25.8899,0.02,0.061,0.972,1.921,0.87,2.07,2.26,very low contamination
1631,-33.382,25.8863,0.006,0.056,0.768,1.052,0.38,1.28,1.68,very low contamination
1632,-33.3819,25.7097,0.096,0.054,3.714,3.113,5.46,3.98,5.06,very low contamination
1633,-33.2984,25.771,0.012,0.057,1.42,4.776,0.55,2.99,6.75,very low contamination
1634,-33.3152,25.8007,0.068,0.063,8.072,6.334,3.51,3.46,13.88,very low contamination
1635,-33.6133,25.7361,0.017,0.356,1.553,4.488,8.07,1.79,1.32,very low contamination
1636,-33.4425,25.6286,0.01,0.229,1.841,7.118,0.9,2.22,3.68,very low contamination
1637,-33.4261,25.7375,0.02,0.215,2.433,5.99,1.23,1.9,3.52,very low contamination
1638,-33.5661,25.7431,0.007,0.261,0.675,3.16,1.6,0.77,1.67,very low contamination
1639,-33.5672,25.7611,0.016,0.281,0.566,3.305,4.03,0.92,0.57,very low contamination
1640,-33.6775,25.6978,0.011,0.239,1.194,5.156,0.45,2.32,3.77,very low contamination
1641,-33.7603,25.6253,0.026,0.277,2.027,7.502,1.12,2.07,2.9,very low contamination
1642,-33.7617,25.6706,0.002,0.236,0.162,1.563,0.24,0.32,0.7,very low contamination
1643,-33.6733,25.4706,0.004,0.298,1.308,5.647,0.5,1.29,3.46,very low contamination
1644,-33.7392,25.5947,0.005,0.239,0.971,6.023,0.17,0.82,2.9,very low contamination
1645,-33.4319,25.2569,0.021,0.278,0.981,4.545,0.62,1.41,1.1,very low contamination
1646,-33.3983,25.3683,0.016,0.096,0.843,2.123,0.91,1.43,1.25,very low contamination
1647,-33.4292,25.3814,0.015,0.253,1.444,5.512,1.03,2.12,1.2,very low contamination
1648,-33.4514,25.4739,0.011,0.239,1.241,5.46,1.34,1.99,2.76,very low contamination
1649,-33.5328,25.6386,0.004,0.204,1.126,3.584,0.31,2.04,2.21,very low contamination
1650,-33.2823,25.7388,0.007,0.106,0.207,1.457,0.84,0.64,0.199,very low contamination
1651,-28.9314,30.9387,0.01,0.316,0.144,1.618,0.51,0.94,0.152,very low contamination
1652,-29.0707,30.9249,0.005,0.133,0.243,1.228,0.16,0.54,0.293,very low contamination
1653,-29.0423,30.8911,0.005,0.156,0.085,1.632,0.31,0.89,0.136,very low contamination
1654,-28.9774,30.8599,0.012,0.147,0.097,2.967,0.43,2.14,0.381,very low contamination
1655,-28.9605,30.8229,0.008,0.229,0.381,2.463,0.46,1.91,0.42,very low contamination
1656,-29.0413,30.7893,0.004,0.148,0.076,3.396,0.41,1.84,0.231,very low contamination
1657,-29.0465,30.7888,0.004,0.173,0.095,3.261,0.46,2.0,0.161,very low contamination
1658,-29.1111,30.7734,0.008,0.177,0.284,1.734,1.16,0.56,0.391,very low contamination
1659,-29.1615,30.4138,0.008,0.143,0.146,1.619,0.47,5.06,0.426,very low contamination
1660,-29.1429,30.4522,0.006,0.379,0.363,3.338,0.5,1.35,0.58,very low contamination
1661,-29.2206,30.3138,0.005,0.179,0.405,2.141,0.39,2.09,8.62,very low contamination
1662,-29.0117,30.408,0.024,0.067,0.539,0.401,0.36,1.08,0.266,very low contamination
1663,-29.1721,30.281,0.006,0.087,0.64,3.977,0.79,1.93,5.35,very low contamination
1664,-29.0994,30.3793,0.015,0.078,11.969,1.333,0.61,10.58,13.3,very low contamination
1665,-27.1708,21.0873,0.002,0.109,0.205,3.492,1.756,0.773,0.349,very low contamination
1666,-24.0961,29.1263,0.012,0.126,13.673,1.944,0.88,3.05,10.87,very low contamination
1667,-24.0548,29.2367,0.005,0.141,6.148,1.121,0.41,3.19,3.39,very low contamination
1668,-24.0191,28.6691,0.003,0.066,0.134,0.09,0.26,0.47,0.8,very low contamination
1669,-24.1838,28.5227,0.002,0.068,0.146,0.733,0.46,0.56,0.278,very low contamination
1670,-24.0766,28.5238,0.005,0.127,0.105,0.995,0.18,0.66,0.06,very low contamination
1671,-24.0458,28.4079,0.016,0.068,4.162,3.005,1.38,7.72,18.6,very low contamination
1672,-24.091,28.2956,0.004,0.094,0.079,0.153,0.47,0.56,0.079,very low contamination
1673,-24.2205,28.3739,0.004,0.097,0.073,0.561,0.26,0.77,0.11,very low contamination
1674,-24.2965,28.4918,0.003,0.147,0.144,1.07,0.27,0.97,0.089,very low contamination
1675,-24.8384,28.3675,0.004,0.055,0.154,0.486,0.54,0.42,0.351,very low contamination
1676,-24.8679,28.1548,0.042,0.065,3.128,5.478,6.69,3.65,4.76,very low contamination
1677,-24.6803,28.0523,0.004,0.175,0.173,0.99,0.18,1.03,0.077,very low contamination
1678,-24.5902,28.0812,0.002,0.104,0.054,0.205,0.25,0.28,0.026,very low contamination
1679,-24.1892,29.7705,0.007,0.074,1.479,0.782,0.89,1.45,1.5,very low contamination
1680,-24.693,28.5174,0.003,0.05,0.253,0.543,0.15,0.25,0.79,very low contamination
1681,-24.5648,28.3301,0.009,0.061,1.261,4.058,2.47,1.8,8.51,very low contamination
1682,-24.4482,28.1578,0.005,0.066,0.175,1.306,1.08,0.58,0.77,very low contamination
1683,-24.4388,28.3207,0.002,0.109,0.086,0.802,0.51,0.195,0.033,very low contamination
1684,-24.2515,28.1926,0.005,0.065,0.416,0.827,0.61,0.93,1.28,very low contamination
1685,-24.2819,28.0376,0.005,0.062,0.172,0.609,0.33,0.4,0.0,very low contamination
1686,-24.152,28.0583,0.006,0.059,0.438,0.839,0.5,0.38,1.98,very low contamination
1687,-24.0701,28.1227,0.033,0.251,0.212,1.331,0.343,0.055,0.046,very low contamination
1688,-24.3075,28.3867,0.009,0.082,1.999,16.226,0.97,5.34,11.046,very low contamination
1689,-24.1123,29.0356,0.02,0.124,1.615,1.928,4.24,0.72,0.0,very low contamination
1690,-24.7779,28.9854,0.029,0.215,0.151,1.076,0.188,0.456,0.061,very low contamination
1691,-24.8626,29.0689,0.013,0.063,2.049,1.748,0.3,0.9,4.791,very low contamination
1692,-24.8661,28.9657,0.02,0.064,2.049,3.193,3.1,1.06,4.623,very low contamination
1693,-24.55,29.2106,0.008,0.075,0.697,0.193,1.01,0.95,0.0,very low contamination
1694,-24.6179,29.19,0.019,0.061,0.745,1.039,0.23,0.49,0.0,very low contamination
1695,-24.5683,29.0743,0.022,0.067,8.692,3.106,0.41,6.01,9.354,very low contamination
1696,-24.9555,29.2228,0.046,0.066,3.338,6.536,5.35,3.3,9.483,very low contamination
1697,-24.8756,29.1733,0.008,0.055,0.372,1.047,0.53,0.61,0.0,very low contamination
1698,-24.5508,28.7467,0.009,0.13,1.695,9.018,0.85,4.28,0.0,very low contamination
1699,-24.8367,28.6224,0.022,0.056,3.56,1.881,1.94,8.98,15.483,very low contamination
1700,-24.7277,29.1313,0.012,0.069,1.641,1.391,0.65,1.63,2.973,very low contamination
1701,-24.4175,29.0247,0.03,0.057,5.462,1.252,0.94,20.94,19.368,very low contamination
1702,-24.3709,29.0745,0.009,0.054,1.855,2.196,0.57,2.44,7.368,very low contamination
1703,-24.3958,28.843,0.005,0.047,0.629,1.111,0.4,0.82,1.875,very low contamination
1704,-24.4973,28.7322,0.008,0.055,2.0,2.364,0.39,4.5,13.833,very low contamination
1705,-24.3924,28.6035,0.003,0.076,0.085,1.006,0.38,0.79,0.0,very low contamination
1706,-24.2843,28.6763,0.005,0.062,0.458,3.13,0.0,1.31,1.707,very low contamination
1707,-24.2168,28.7668,0.014,0.068,0.361,0.908,1.18,0.6,0.0,very low contamination
1708,-24.165,29.3106,0.014,0.183,8.692,1.598,0.74,4.88,10.074,very low contamination
1709,-24.1663,29.4141,0.004,0.057,0.274,1.817,0.29,0.77,0.0,very low contamination
1710,-24.0378,29.3756,0.006,0.08,4.461,1.347,0.54,2.95,4.539,very low contamination
1711,-34.0074,24.0363,0.005,0.149,0.136,0.751,0.3,0.004,0.0,very low contamination
1712,-33.9917,24.0175,0.008,0.136,0.127,1.544,0.7,0.004,0.0,very low contamination
1713,-34.01,24.1149,0.005,0.212,0.134,1.44,0.3,0.004,0.0,very low contamination
1714,-34.0179,24.187,0.003,0.133,0.074,0.812,0.31,0.004,0.0,very low contamination
1715,-34.0427,24.4236,0.005,0.12,0.053,0.874,0.49,0.004,0.0,very low contamination
1716,-34.028,24.3754,0.003,0.119,0.06,1.024,0.57,0.004,0.0,very low contamination
1717,-34.0956,24.7213,0.007,0.069,0.378,4.572,0.61,0.82,2.046,very low contamination
1718,-34.0818,24.7047,0.005,0.101,0.283,1.54,0.28,0.76,0.0,very low contamination
1719,-34.0305,24.7931,0.004,0.306,0.298,8.944,0.44,0.79,0.0,very low contamination
1720,-33.5594,25.8325,0.008,0.069,2.038,1.538,0.21,0.99,3.438,very low contamination
1721,-33.4101,24.3477,0.026,0.07,1.254,3.292,0.8,1.57,4.2,very low contamination
1722,-34.01,24.2367,0.018,0.058,0.64,1.874,0.65,0.58,2.003,very low contamination
1723,-33.072,24.4944,0.035,0.069,0.636,3.982,1.8,1.16,3.228,very low contamination
1724,-33.3241,24.8968,0.011,0.064,1.877,1.468,0.37,1.48,2.974,very low contamination
1725,-33.7704,24.8245,0.027,0.08,3.082,4.058,21.51,4.91,8.89,very low contamination
1726,-33.771,25.0013,0.004,0.128,0.106,1.281,0.22,0.004,0.0,very low contamination
1727,-24.4022,27.6876,0.022,0.107,0.241,1.215,1.14,0.56,0.0,very low contamination
1728,-33.4295,25.965,0.003,0.065,0.036,0.191,1.75,0.004,0.0,very low contamination
1729,-24.8,30.1467,0.012,0.183,10.974,1.145,0.51,2.96,12.904,very low contamination
1730,-24.8367,30.1,0.013,0.062,2.746,0.156,1.0,2.13,0.0,very low contamination
1731,-24.8367,30.0867,0.009,0.073,1.079,0.122,0.94,1.1,0.0,very low contamination
1732,-24.8433,30.07,0.014,0.056,0.939,0.222,0.96,2.76,0.0,very low contamination
1733,-25.03,29.8867,0.018,0.053,7.737,0.498,0.46,24.6,24.989,very low contamination
1734,-25.0433,29.8633,0.019,0.05,5.057,0.524,0.23,28.8,26.806,very low contamination
1735,-25.09,29.85,0.011,0.063,1.136,0.13,0.72,3.69,0.0,very low contamination
1736,-25.08,29.8333,0.017,0.046,0.483,3.275,1.09,0.69,6.989,very low contamination
1737,-25.0633,29.8267,0.012,0.052,0.447,2.217,0.26,1.08,1.58,very low contamination
1738,-25.15,29.8467,0.012,0.055,1.144,0.192,0.43,1.15,14.172,very low contamination
1739,-23.0393,30.1152,0.015,0.055,0.268,1.619,1.02,13.53,2.89,very low contamination
1740,-23.15,30.1458,0.004,0.153,0.579,3.823,0.21,1.15,11.594,very low contamination
1741,-23.1156,30.1333,0.004,0.063,0.493,2.829,0.0,1.41,7.622,very low contamination
1742,-23.0506,30.2199,0.032,0.169,0.612,0.674,0.138,0.464,1.255,very low contamination
1743,-23.1093,30.0526,0.012,0.104,4.75,2.294,1.42,3.73,12.735,very low contamination
1744,-23.175,30.125,0.009,0.065,1.153,4.882,0.32,7.77,5.298,very low contamination
1745,-23.0222,30.1556,0.002,0.102,0.079,1.024,0.26,5.53,3.312,very low contamination
1746,-23.1248,30.3375,0.004,0.061,1.692,3.386,0.74,1.75,4.158,very low contamination
1747,-23.1154,30.3047,0.004,0.088,1.376,5.769,0.4,5.53,34.598,very low contamination
1748,-23.9324,30.5769,0.017,0.082,3.697,2.156,0.76,3.66,8.932,very low contamination
1749,-23.7965,30.2365,0.005,0.058,0.277,2.189,0.29,1.15,2.721,very low contamination
1750,-29.8225,30.4625,0.012,0.06,3.955,2.994,0.0,3.46,8.214,very low contamination
1751,-29.9435,30.2647,0.011,0.069,0.889,1.856,0.61,9.51,19.876,very low contamination
1752,-29.7723,30.2915,0.002,0.085,0.147,3.012,0.357,1.91,0.62,very low contamination
1753,-29.8545,30.3656,0.004,0.089,0.103,1.588,0.0,9.97,5.383,very low contamination
1754,-29.4042,30.7723,0.008,0.317,0.095,9.698,0.33,0.94,0.337,very low contamination
1755,-29.4164,30.721,0.004,0.302,0.036,12.694,0.11,0.97,0.165,very low contamination
1756,-29.4533,30.6583,0.004,0.251,0.032,8.592,0.12,1.06,0.203,very low contamination
1757,-29.3117,30.5727,0.004,0.204,0.14,4.442,0.1,0.59,0.435,very low contamination
1758,-29.371,30.5272,0.004,0.269,0.028,10.55,1.64,0.75,0.225,very low contamination
1759,-29.2886,30.682,0.014,0.185,0.272,6.268,0.88,1.03,2.86,very low contamination
1760,-29.0816,30.0863,0.006,0.114,0.292,2.255,0.52,4.04,3.82,very low contamination
1761,-29.0756,30.1057,0.007,0.165,1.144,3.482,0.51,2.33,3.946,very low contamination
1762,-29.1669,30.1506,0.006,0.094,0.63,1.44,0.83,1.16,1.918,very low contamination
1763,-23.7772,30.6806,0.005,0.056,0.219,0.658,0.33,0.79,0.693,very low contamination
1764,-23.783,30.3706,0.052,0.166,0.386,0.947,4.962,0.399,0.304,very low contamination
1765,-23.5492,30.1431,0.006,0.056,0.595,0.771,0.55,3.27,3.735,very low contamination
1766,-23.613,30.0422,0.005,0.117,0.919,0.988,0.78,0.63,0.988,very low contamination
1767,-23.6374,30.0789,0.007,0.063,2.875,0.726,0.27,2.08,6.355,very low contamination
1768,-23.7668,30.4204,0.005,0.062,0.686,0.834,0.25,1.14,2.467,very low contamination
1769,-23.9224,30.9232,0.014,0.048,0.624,0.821,2.59,4.85,11.383,very low contamination
1770,-33.6782,24.8004,0.003,0.136,17.314,1.973,0.31,0.4,0.0,very low contamination
1771,-34.0428,24.5386,0.003,0.082,0.249,0.732,0.0,0.004,0.0,very low contamination
1772,-33.9611,24.7972,0.002,0.099,0.142,0.532,0.0,0.004,0.0,very low contamination
1773,-33.7132,25.4941,0.022,0.061,0.061,0.151,1.37,1.22,0.0,very low contamination
1774,-25.61,29.8633,0.006,0.068,1.358,0.647,0.37,1.05,6.017,very low contamination
1775,-25.5767,29.8833,0.013,0.072,0.292,2.106,1.86,3.13,1.791,very low contamination
1776,-25.5667,29.8667,0.013,0.072,1.057,3.926,1.42,4.43,26.51,very low contamination
1777,-25.4133,29.8667,0.015,0.041,0.41,1.839,0.94,6.4,26.299,very low contamination
1778,-25.44,26.8733,0.014,0.055,0.961,2.003,1.91,5.17,23.891,very low contamination
1779,-25.54,29.8933,0.009,0.054,4.137,0.792,0.28,4.8,12.904,very low contamination
1780,-25.3467,29.8133,0.014,0.073,6.666,1.549,1.02,6.89,22.496,very low contamination
1781,-25.3267,29.8233,0.007,0.06,4.931,2.361,1.72,5.71,24.44,very low contamination
1782,-25.27,29.8233,0.01,0.062,3.88,1.382,3.88,3.31,9.144,very low contamination
1783,-25.3133,29.8525,0.009,0.054,0.699,0.245,0.66,16.56,36.964,very low contamination
1784,-24.525,26.9191,0.009,0.044,1.066,1.08,0.39,1.32,6.101,very low contamination
1785,-24.7204,26.8153,0.012,0.063,2.759,1.264,0.31,2.9,11.341,very low contamination
1786,-24.7033,27.0933,0.007,0.099,9.299,2.023,0.23,1.91,6.355,very low contamination
1787,-24.5205,27.271,0.015,0.068,2.49,1.726,0.95,2.97,8.256,very low contamination
1788,-24.4663,27.032,0.014,0.073,5.063,3.001,0.33,2.89,5.763,very low contamination
1789,-24.3206,27.0296,0.003,0.098,9.386,3.167,0.22,0.88,2.341,very low contamination
1790,-30.2256,30.1827,0.002,0.057,0.384,4.371,0.4,3.007,0.421,very low contamination
1791,-30.2878,30.1902,0.008,0.0,0.473,1.855,0.3,2.78,1.17,very low contamination
1792,-30.2596,30.202,0.003,0.092,0.206,1.766,2.29,1.39,2.02,very low contamination
1793,-30.4175,30.2846,0.001,0.214,0.407,2.235,0.33,2.52,1.2,very low contamination
1794,-30.3705,30.315,0.003,0.011,0.155,3.028,0.34,2.054,0.086,very low contamination
1795,-30.4211,30.4144,0.025,0.0,1.674,0.714,1.279,0.632,0.302,very low contamination
1796,-30.3665,30.3758,0.005,0.103,0.161,0.966,0.79,4.82,10.8,very low contamination
1797,-29.1667,29.3333,0.119,0.096,0.62,0.684,0.58,4.13,1.073,very low contamination
1798,-29.25,29.6667,0.006,0.23,0.353,0.405,0.46,2.57,0.0,very low contamination
1799,-29.2507,29.5323,0.004,0.05,0.327,1.826,0.82,4.66,1.18,very low contamination
1800,-29.2458,29.5337,0.002,0.091,0.125,2.648,0.971,2.476,0.522,very low contamination
1801,-29.2,29.3333,0.014,0.384,0.284,2.128,2.46,2.6,2.467,very low contamination
1802,-29.2102,29.551,0.003,0.217,0.153,1.545,0.22,0.71,0.4,very low contamination
1803,-29.2062,29.5291,0.011,0.012,0.385,0.911,0.542,1.92,0.189,very low contamination
1804,-29.1833,29.8333,0.007,0.105,2.044,3.094,0.77,4.96,1.665,very low contamination
1805,-29.3378,29.5116,0.008,0.176,0.339,0.24,0.39,3.16,0.54,very low contamination
1806,-29.3833,29.6667,0.005,0.288,0.516,0.512,0.23,1.11,0.0,very low contamination
1807,-29.3667,29.5,0.004,0.168,0.285,1.709,0.28,1.45,0.0,very low contamination
1808,-24.4401,27.4601,0.006,0.506,0.311,1.648,1.32,0.69,1.242,very low contamination
1809,-24.3661,27.2952,0.011,0.079,0.756,1.423,1.22,2.38,3.228,very low contamination
1810,-24.2686,27.3424,0.018,0.085,3.975,1.667,0.51,4.22,8.975,very low contamination
1811,-24.2582,27.0816,0.01,0.074,8.896,3.271,0.61,1.08,3.735,very low contamination
1812,-24.0557,26.9168,0.007,0.071,1.152,2.069,0.31,1.21,5.975,very low contamination
1813,-24.0862,27.6211,0.041,0.176,2.773,1.487,3.92,10.25,17.383,very low contamination
1814,-24.0707,27.6853,0.002,0.105,10.527,8.348,0.0,0.004,0.0,very low contamination
1815,-24.2438,27.7204,0.004,0.085,0.225,0.247,0.42,0.53,0.0,very low contamination
1816,-24.877,27.2945,0.008,0.076,0.606,0.985,0.22,2.34,2.467,very low contamination
1817,-24.9581,27.2988,0.009,0.065,3.689,0.804,0.74,2.25,17.721,very low contamination
1818,-24.6618,27.5919,0.003,0.081,1.471,0.482,0.19,0.004,0.777,very low contamination
1819,-24.758,27.946,0.004,0.084,0.34,3.043,0.23,1.11,1.665,very low contamination
1820,-24.7165,26.5196,0.01,0.088,1.182,1.164,0.38,0.75,3.27,very low contamination
1821,-24.0091,27.177,0.03,0.179,0.162,0.585,0.491,0.079,0.118,very low contamination
1822,-24.0067,27.3797,0.032,0.189,0.336,0.479,0.38,0.347,0.197,very low contamination
1823,-24.7001,27.4485,0.012,0.161,9.158,3.376,0.3,2.39,13.665,very low contamination
1824,-24.6294,27.093,0.007,0.059,3.153,1.307,0.0,1.01,5.568,very low contamination
1825,-30.633,25.1781,0.02,0.0,0.612,2.229,3.44,1.37,1.72,very low contamination
1826,-30.9062,24.2564,0.021,0.011,0.933,3.155,0.5,2.39,0.63,very low contamination
1827,-30.8004,25.7641,0.022,0.014,1.66,1.702,1.73,1.89,3.57,very low contamination
1828,-30.1466,25.3279,0.008,0.005,1.323,0.467,0.37,1.82,2.32,very low contamination
1829,-23.225,28.4167,0.006,0.047,1.725,1.376,0.0,0.7,3.332,very low contamination
1830,-23.2194,28.425,0.004,0.046,1.089,0.515,0.0,0.48,1.302,very low contamination
1831,-29.0868,29.379,0.005,0.092,0.171,0.342,1.752,7.408,0.816,very low contamination
1832,-33.4361,25.8592,0.026,0.0,1.867,1.065,0.84,2.17,0.72,very low contamination
1833,-33.4667,25.9581,0.012,0.0,0.51,0.654,5.627,1.219,0.846,very low contamination
1834,-33.4864,25.9711,0.004,0.004,0.264,0.278,0.879,0.602,0.208,very low contamination
1835,-33.4103,25.7864,0.028,0.0,1.238,2.26,3.23,0.95,2.67,very low contamination
1836,-33.4353,25.9756,0.004,0.003,0.226,0.218,0.518,0.281,0.098,very low contamination
1837,-33.0743,25.8899,0.021,0.0,2.263,2.26,1.27,1.72,3.53,very low contamination
1838,-33.0825,25.8644,0.012,0.251,1.739,7.678,0.82,2.25,2.78,very low contamination
1839,-33.0972,25.8592,0.022,0.204,2.563,8.296,0.74,3.17,5.06,very low contamination
1840,-33.0906,25.9022,0.017,0.265,2.457,10.957,1.0,3.62,3.9,very low contamination
1841,-33.0658,25.9347,0.009,0.198,0.769,3.169,0.89,1.62,2.36,very low contamination
1842,-33.0917,25.75,0.015,0.218,1.572,6.585,1.6,2.51,4.04,very low contamination
1843,-33.0917,25.6639,0.007,0.207,1.547,4.753,0.53,1.45,3.43,very low contamination
1844,-33.0472,25.7181,0.013,0.171,2.283,5.239,0.59,2.76,4.03,very low contamination
1845,-33.0583,25.75,0.012,0.173,2.809,5.234,1.26,2.89,3.79,very low contamination
1846,-33.1333,25.1972,0.021,0.17,0.312,4.124,0.8,0.58,0.55,very low contamination
1847,-33.0875,25.3681,0.018,0.171,0.283,4.192,1.04,0.74,0.46,very low contamination
1848,-33.0861,25.4667,0.035,0.2,1.311,11.197,3.42,2.13,2.11,very low contamination
1849,-33.0833,25.7292,0.017,0.175,3.23,8.615,0.64,2.26,5.37,very low contamination
1850,-33.1083,25.2514,0.082,0.214,2.072,10.328,1.2,1.92,3.57,very low contamination
1851,-33.0889,25.2833,0.048,0.214,1.421,13.534,1.88,2.06,3.81,very low contamination
1852,-33.0861,25.3,0.019,0.207,0.82,13.236,1.43,1.65,2.05,very low contamination
1853,-33.8086,18.3753,0.033,0.171,0.203,0.637,0.461,0.41,0.277,very low contamination
1854,-33.815,18.3786,0.042,0.167,0.478,2.153,4.153,0.718,1.057,very low contamination
1855,-33.8156,18.37,0.143,0.331,0.137,0.681,15.33,0.91,0.021,very low contamination
1856,-33.8142,18.3644,0.273,0.414,1.432,3.442,64.366,2.053,0.22,very low contamination
1857,-33.8022,18.3683,0.201,0.313,0.106,1.461,24.95,0.72,0.046,very low contamination
1858,-33.7972,18.3636,0.179,0.279,0.214,2.355,26.91,1.16,0.54,very low contamination
1859,-33.7928,18.3658,0.219,0.3,1.223,2.442,26.023,1.106,0.109,very low contamination
1860,-31.1638,20.0812,0.008,0.013,0.251,0.108,0.453,1.23,0.194,very low contamination
1861,-31.1357,20.0962,0.015,0.002,0.284,0.239,0.748,1.404,0.356,very low contamination
1862,-31.0965,20.311,0.031,0.005,0.481,2.664,1.03,4.299,0.708,very low contamination
1863,-31.2545,20.3854,0.014,0.006,0.302,1.333,0.41,0.64,1.1,very low contamination
1864,-31.6046,20.063,0.012,0.039,0.281,0.446,0.54,1.02,2.97,very low contamination
1865,-31.6886,20.2852,0.008,0.012,0.136,0.345,0.36,0.4,0.79,very low contamination
1866,-31.3816,20.2818,0.026,0.026,0.971,3.542,0.65,3.14,2.56,very low contamination
1867,-22.6514,30.0025,0.013,0.055,3.547,0.666,0.32,2.43,6.024,very low contamination
1868,-22.4375,30.3988,0.006,0.077,4.734,0.199,0.39,2.59,3.166,very low contamination
1869,-22.407,30.1299,0.009,0.074,1.36,0.297,0.56,1.99,1.013,very low contamination
1870,-22.4375,30.3988,0.019,0.062,1.679,0.363,0.56,2.81,4.202,very low contamination
1871,-22.3183,30.491,0.007,0.078,3.788,0.768,1.18,2.45,3.663,very low contamination
1872,-22.3665,30.8771,0.005,0.08,1.308,0.647,0.34,0.84,3.125,very low contamination
1873,-23.3488,27.7018,0.004,0.054,0.211,0.543,0.34,0.53,0.598,very low contamination
1874,-23.5058,27.2827,0.016,0.053,2.279,2.108,0.35,1.65,4.285,very low contamination
1875,-23.4879,27.5942,0.005,0.023,0.389,0.794,0.113,0.018,0.641,very low contamination
1876,-23.834,27.4579,0.004,0.052,0.466,0.288,0.0,0.35,0.143,very low contamination
1877,-23.8653,27.7599,0.005,0.022,0.463,0.942,0.075,0.026,0.309,very low contamination
1878,-23.9152,27.8908,0.002,0.05,0.087,0.598,0.025,0.195,0.074,very low contamination
1879,-23.5343,27.8961,0.02,0.056,3.798,4.33,0.37,3.59,10.042,very low contamination
1880,-23.6434,27.7721,0.009,0.07,1.689,1.354,0.72,1.99,1.468,very low contamination
1881,-23.7859,27.5657,0.005,0.029,0.322,1.285,0.116,0.341,1.11,very low contamination
